Timestamp,Open,High,Low,Close,Volume,Daily_increase
2010-09-25,0.10,0.10,0.10,0.10,215,0.00%
2010-09-24,0.10,0.10,0.10,0.10,68,0.00%
2010-09-23,0.10,0.10,0.10,0.10,"1,551",0.00%
2010-09-22,0.10,0.10,0.10,0.10,"1,156",0.00%
2010-09-21,0.10,0.10,0.10,0.10,574,0.00%
2010-09-20,0.10,0.10,0.10,0.10,"1,431",0.00%
2010-09-19,0.10,0.10,0.10,0.10,"1,285",0.00%
2010-09-18,0.10,0.10,0.10,0.10,709,0.00%
2010-09-17,0.10,0.10,0.10,0.10,726,0.00%
2010-09-16,0.10,0.10,0.10,0.10,73,0.00%
2010-09-15,0.10,0.10,0.10,0.10,365,0.00%
2010-09-14,0.10,0.20,0.10,0.10,"1,402",0.00%
2010-09-13,0.10,0.10,0.10,0.10,"1,008",0.00%
2010-09-12,0.10,0.10,0.10,0.10,79,0.00%
2010-09-11,0.10,0.10,0.10,0.10,775,0.00%
2010-09-10,0.10,0.10,0.10,0.10,494,0.00%
2010-09-09,0.10,0.10,0.10,0.10,173,0.00%
2010-09-08,0.10,0.10,0.10,0.10,235,0.00%
2010-09-07,0.10,0.10,0.10,0.10,346,0.00%
2010-09-06,0.10,0.10,0.10,0.10,91,0.00%
2010-09-05,0.10,0.10,0.10,0.10,846,0.00%
2010-09-04,0.10,0.10,0.10,0.10,330,0.00%
2010-09-03,0.10,0.10,0.10,0.10,89,0.00%
2010-09-02,0.10,0.10,0.10,0.10,815,0.00%
2010-09-01,0.10,0.10,0.10,0.10,717,0.00%
2010-08-31,0.10,0.10,0.10,0.10,"1,489",0.00%
2010-08-30,0.10,0.10,0.10,0.10,"3,419",0.00%
2010-08-29,0.10,0.10,0.10,0.10,317,0.00%
2010-08-28,0.10,0.10,0.10,0.10,617,0.00%
2010-08-27,0.10,0.10,0.10,0.10,901,0.00%
2010-08-26,0.10,0.10,0.10,0.10,387,0.00%
2010-08-25,0.10,0.10,0.10,0.10,423,0.00%
2010-08-24,0.10,0.10,0.10,0.10,671,0.00%
2010-08-23,0.10,0.10,0.10,0.10,430,0.00%
2010-08-22,0.10,0.10,0.10,0.10,"1,865",0.00%
2010-08-21,0.10,0.10,0.10,0.10,"1,044",0.00%
2010-08-20,0.10,0.10,0.10,0.10,420,0.00%
2010-08-19,0.10,0.10,0.10,0.10,74,0.00%
2010-08-18,0.10,0.10,0.10,0.10,295,0.00%
2010-08-17,0.10,0.10,0.10,0.10,"1,319",0.00%
2010-08-16,0.10,0.10,0.10,0.10,"1,073",0.00%
2010-08-15,0.10,0.10,0.10,0.10,446,0.00%
2010-08-14,0.10,0.10,0.10,0.10,440,0.00%
2010-08-13,0.10,0.10,0.10,0.10,359,0.00%
2010-08-12,0.10,0.10,0.10,0.10,206,0.00%
2010-08-11,0.10,0.10,0.10,0.10,"1,406",0.00%
2010-08-10,0.10,0.10,0.10,0.10,131,0.00%
2010-08-09,0.10,0.10,0.10,0.10,"1,363",0.00%
2010-08-08,0.10,0.10,0.10,0.10,220,0.00%
2010-08-07,0.10,0.10,0.10,0.10,262,0.00%
2010-08-06,0.10,0.10,0.10,0.10,140,0.00%
2010-08-05,0.10,0.10,0.10,0.10,503,0.00%
2010-08-04,0.10,0.10,0.10,0.10,349,0.00%
2010-08-03,0.10,0.10,0.10,0.10,982,0.00%
2010-08-02,0.10,0.10,0.10,0.10,360,0.00%
2010-08-01,0.10,0.10,0.10,0.10,260,0.00%
2010-07-31,0.10,0.10,0.10,0.10,402,0.00%
2010-07-30,0.10,0.10,0.10,0.10,302,0.00%
2010-07-29,0.10,0.10,0.10,0.10,806,0.00%
2010-07-28,0.10,0.10,0.10,0.10,439,0.00%
2010-07-27,0.10,0.10,0.10,0.10,337,0.00%
2010-07-26,0.10,0.10,0.10,0.10,88,0.00%
2010-07-25,0.10,0.10,0.10,0.10,155,0.00%
2010-07-24,0.10,0.10,0.10,0.10,50,0.00%
2010-07-23,0.10,0.10,0.10,0.10,240,0.00%
2010-07-22,0.10,0.10,0.10,0.10,216,0.00%
2010-07-21,0.10,0.10,0.10,0.10,58,0.00%
2010-07-20,0.10,0.10,0.10,0.10,26,0.00%
2010-07-19,0.10,0.10,0.10,0.10,57,0.00%
2010-07-12,0.10,0.10,0.10,0.10,8,0.00%
