交易日期,时间戳,选股器名称,选股器类型,股票代码,股票名称,所属行业,市场,总市值,连续天数
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603612.SH,索通发展,矿物制品,主板,1191963.97,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601007.SH,金陵饭店,酒店餐饮,主板,297570,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605108.SH,同庆楼,酒店餐饮,主板,503620,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002959.SZ,小熊电器,家用电器,主板,771688.044,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603075.SH,热威股份,家用电器,主板,888682.7091,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,001211.SZ,双枪科技,家居用品,主板,176112,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603021.SH,ST华鹏,家居用品,主板,122540.1108,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603551.SH,奥普科技,家居用品,主板,451413.5581,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603833.SH,欧派家居,家居用品,主板,3169420.603,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,001211.SZ,双枪科技,家居用品,主板,176112,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,001268.SZ,联合精密,机械基件,主板,353697.5355,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603187.SH,海容冷链,机械基件,主板,504659.4357,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605060.SH,联德股份,机械基件,主板,590653.36,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,600098.SH,广州发展,火力发电,主板,2324681.454,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000506.SZ,招金黄金,黄金,主板,970823.5602,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000975.SZ,山金国际,黄金,主板,5253558.525,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002155.SZ,湖南黄金,黄金,主板,2976850.757,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600547.SH,山东黄金,黄金,主板,14708636.28,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600988.SH,赤峰黄金,黄金,主板,4922064.951,1
2025/9/19,20250919_164140,填坑战法,PeakKDJSelector,600988.SH,赤峰黄金,黄金,主板,4922064.951,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000544.SZ,中原环保,环境保护,主板,840178.0287,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000711.SZ,*ST京蓝,环境保护,主板,485685.9579,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000803.SZ,山高环能,环境保护,主板,344763.4422,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601827.SH,三峰环境,环境保护,主板,1459597.771,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603568.SH,伟明环保,环境保护,主板,3252296.891,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603817.SH,海峡环保,环境保护,主板,345470.9276,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,000544.SZ,中原环保,环境保护,主板,840178.0287,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002102.SZ,能特科技,化学制药,主板,1027385.118,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002653.SZ,海思科,化学制药,主板,6659032.25,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600079.SH,人福医药,化学制药,主板,3514182.503,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,605507.SH,国邦医药,化学制药,主板,1289764.638,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000301.SZ,东方盛虹,化纤,主板,5883992.897,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002206.SZ,海利得,化纤,主板,691513.2959,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002493.SZ,荣盛石化,化纤,主板,9130350.22,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600409.SH,三友化工,化纤,主板,1160164.39,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600810.SH,神马股份,化纤,主板,983639.7353,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,601233.SH,桐昆股份,化纤,主板,2967498.24,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603225.SH,新凤鸣,化纤,主板,1910392.095,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000683.SZ,博源化工,化工原料,主板,2153149.916,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000830.SZ,鲁西化工,化工原料,主板,2338051.08,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002125.SZ,湘潭电化,化工原料,主板,821473.6355,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002145.SZ,中核钛白,化工原料,主板,1602608.989,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002469.SZ,三维化学,化工原料,主板,562563.9002,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,002895.SZ,川恒股份,化工原料,主板,1503975.04,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,003017.SZ,大洋生物,化工原料,主板,261744,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600078.SH,澄星股份,化工原料,主板,408807.4552,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600319.SH,亚星化学,化工原料,主板,277599.9189,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600367.SH,红星发展,化工原料,主板,522271.411,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600599.SH,*ST熊猫,化工原料,主板,135788,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600618.SH,氯碱化工,化工原料,主板,1180684.376,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,600989.SH,宝丰能源,化工原料,主板,11359374.64,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603120.SH,肯特催化,化工原料,主板,369374.4,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603227.SH,雪峰科技,化工原料,主板,963451.7274,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603505.SH,金石资源,化工原料,主板,1339095.082,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,603822.SH,嘉澳环保,化工原料,主板,456115.2852,1
2025/9/19,20250919_164140,SuperB1战法,SuperB1Selector,603120.SH,肯特催化,化工原料,主板,369374.4,1
2025/9/19,20250919_164140,TePu战法,BreakoutVolumeKDJSelector,600367.SH,红星发展,化工原料,主板,522271.411,1
2025/9/19,20250919_164140,填坑战法,PeakKDJSelector,600319.SH,亚星化学,化工原料,主板,277599.9189,1
2025/9/19,20250919_164140,少妇战法,BBIKDJSelector,000869.SZ,张裕A,红黄酒,主板,1446436.857,1
